# solver_status,optimal
# total_cost_eur,31.75173549
# total_widgets,199.999999
# daily_target,200.0
hour,price_eur_per_kwh,input_max_rate,on,start,stop,rate_widgets_per_hour,power_kw,energy_kwh,cost_eur
0,0.12,100.0,1,1,0,10.0,11.53719,11.53719,1.3844628
1,0.11,100.0,1,0,0,18.181818,17.561983,17.561983,1.9318181300000001
2,0.1,80.0,1,0,0,24.545455,22.826446,22.826446,2.2826446000000002
3,0.1,80.0,1,0,0,27.272727,25.082645,25.082645,2.5082645
4,0.09,60.0,1,0,0,36.363636,33.429752,33.429752,3.00867768
5,0.09,60.0,1,0,0,36.363636,33.429752,33.429752,3.00867768
6,0.1,100.0,1,0,0,27.272727,25.082645,25.082645,2.5082645
7,0.14,100.0,0,0,1,0.0,5.0,5.0,0.7000000000000001
8,0.18,100.0,0,0,0,0.0,5.0,5.0,0.8999999999999999
9,0.2,100.0,0,0,0,0.0,5.0,5.0,1.0
10,0.22,100.0,0,0,0,0.0,5.0,5.0,1.1
11,0.21,100.0,0,0,0,0.0,5.0,5.0,1.05
12,0.19,100.0,0,0,0,0.0,5.0,5.0,0.95
13,0.17,100.0,0,0,0,0.0,5.0,5.0,0.8500000000000001
14,0.16,100.0,0,0,0,0.0,5.0,5.0,0.8
15,0.15,100.0,0,0,0,0.0,5.0,5.0,0.75
16,0.14,100.0,0,0,0,0.0,5.0,5.0,0.7000000000000001
17,0.13,100.0,0,0,0,0.0,5.0,5.0,0.65
18,0.12,100.0,1,1,0,10.0,11.53719,11.53719,1.3844628
19,0.12,100.0,1,0,0,10.0,11.53719,11.53719,1.3844628
20,0.13,100.0,0,0,1,0.0,5.0,5.0,0.65
21,0.15,100.0,0,0,0,0.0,5.0,5.0,0.75
22,0.16,100.0,0,0,0,0.0,5.0,5.0,0.8
23,0.14,100.0,0,0,0,0.0,5.0,5.0,0.7000000000000001
